German,English
"der Schuh,-e",shoe
"die Bluse,-n",blouse
"das Kleid,-er",dress
"der Stiefel,-",boot
"das Tuch,-""er",rag/cloth/scarf
"die Mütze,-n",cap
die Jeans,jeans
"die Tasche,-n",bag
"die Jacke,-n",jacket
"die Krawatte,-n",tie
"der Anzug,-""e",suit
"das Hemd,-en",shirt
"die Hose,-n",pant
"der Rock,-""e",skirt
"der Schal,-e",shawl
"die Kleidung,-en",clothes
"das T-Shirt,-s",T-Shirt
"der Mantel,-""",Coat
"die Klamotte,-n",clothes
"die Uhr,-en",clock
"die Kasse,-n",cashiers
"das Kaufhaus,-""er",shopping mall
"der Buchladen,-""",bookshop
"der Laden,-""",shop
der Schmuck,jewelry
"der Secondhand-Laden,-""",secondhand shop
"das Kleidergeschäft,-e",clothes shop
"der Shop,-s",shop
"die Mode,-n",fashion
tragen,"to wear, carry"
shoppen,to shop
lang,long
eng,tight
doof,stupid
besser,better
weit,far
kurz,short
bequem,comfortable
auch,also
viel zu,too many
so,"so, thus"
anprobieren,to try sth on
"ankommen, er kommt an, ist angekommen",to arrive
nerven,to irritate
kriegen,to receive
zurückschicken,to send back
umtauschen,to exchange
"empfehlen, er empfiehlt, hat empfohlen",to recommend
im Internet bestellen,order online
entdecken,to discover
passen,"to suit, match"
Was meinst du?,What do you think?
"stehen, er steht, hat gestanden",to suit (Der Pullover steht ihr gut)
"anziehen, er zieht an, hat angezogen",to wear
meinen,"to mean sth, think sth"
"gefallen, er gefällt, hat gefallen",to appeal to someone
"ausziehen, er zieht aus, hat ausgezogen","to remove, take sth off"
"das Produkt,-e",product
"die Kosmetik,-a",cosmetic
"das Papier,-e",paper
"der USB-Stick,-s",USB Stick
"das Parfüm,-e",perfume
"das Duschgel,-s",showergel
"der Haushalt,-e",household
"das Untergeschoss,-e",basement
"die Kamera,-s",camera
"die Zeitschrift,-en",magazine
"der Kugelschreiber,-",pen
"der Bleistift,-e",pencil
öffnen,to open
"schließen, er schließt, hat geschlossen",to close
praktisch,practical
zuhaben,"to be shut, closed"
die Öffnungszeiten,opening timings
auf sein,to be open
täglich geöffnet von... bis ....,daily open from...till...
zu sein,to be closed
ich,I
du,you (informal)
er/es,he/it
sie,she / they
wir,we
ihr,you guys (plural informal)
Sie,You (formal)
mir,me (dative)
dir,you (dative)
ihm,him/it (dative)
ihr,her (dative)
uns,us
euch,you all
ihnen,them
Ihnen,You (formal dative)
"der/die Jugendliche,-n",teenager
"die Hauptstadt,-""e",main city
"die Erfindung,-en",invention
"das Souvenir,-s",souvenir
"das Schild,-er","plate,sign"
"die Sache,-n",thing
"das Design,-s",design
die Architektur,architecture
"der Hof,-""e",courtyard
"ausgehen, er geht aus, ist ausgegangen",to go out
ohne,without
aktuell,update
einfach,simply
kreativ,creative
vorgestern,day before yesterday
auf jeden fall,in any case
Quatsch!,rubbish!
böse,angry
Ich danke Ihnen.,I thank you
gleich,same
